Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Unemployment rate,GDP,prediccion,prob_Dropout,prob_Enrolled,prob_Graduate,riesgo_dropout_pct
1,39,1,9119,1,12,133.1,34,34,0,0,95.1,0,0,0,1,0,49,10.8,1.74,Dropout,99.8,0.1,0.1,99.8
6,39,1,9991,0,12,130.0,37,37,90,90,119.0,1,0,0,1,0,55,7.6,0.32,Dropout,99.4,0.4,0.2,99.4
1,42,1,9119,1,1,140.0,19,19,90,90,120.0,0,1,0,1,0,31,12.7,-1.7,Dropout,98.9,1.0,0.1,98.9
1,39,1,8014,0,15,133.1,34,34,0,0,100.0,1,0,0,0,0,37,9.4,-3.12,Dropout,98.8,0.3,1.0,98.8
1,7,1,9991,0,3,130.0,19,19,3,9,130.0,0,0,0,1,0,32,16.2,-0.92,Dropout,97.7,1.4,0.9,97.7
1,39,1,9773,1,19,133.1,19,1,7,9,115.0,1,1,0,1,0,25,12.7,-1.7,Dropout,97.7,2.0,0.2,97.7
2,7,1,8014,0,3,130.0,35,35,90,90,140.0,0,0,0,0,0,59,10.8,1.74,Dropout,97.5,0.1,2.4,97.5
1,39,1,9670,1,9,133.1,6,22,3,3,120.0,0,1,0,1,0,26,9.4,-3.12,Dropout,97.3,2.3,0.4,97.3
1,7,1,9147,1,2,150.0,3,37,2,5,150.0,1,1,0,0,0,38,15.5,-4.06,Dropout,96.9,2.8,0.3,96.9
1,39,1,9670,1,12,133.1,37,1,9,3,120.0,0,1,0,1,0,40,15.5,-4.06,Dropout,96.8,2.6,0.6,96.8
1,39,1,9254,1,19,133.1,37,37,90,90,100.0,0,0,1,1,0,48,7.6,0.32,Dropout,96.4,1.4,2.2,96.4
5,7,1,9070,1,3,140.0,37,37,7,7,140.0,0,0,0,1,0,30,15.5,-4.06,Dropout,95.9,1.5,2.6,95.9
1,17,6,9670,1,1,117.0,38,19,0,1,114.6,0,0,0,1,0,19,10.8,1.74,Dropout,95.8,1.4,2.8,95.8
1,7,1,8014,0,3,130.0,37,38,0,5,130.0,0,0,0,0,0,28,12.7,-1.7,Dropout,95.8,0.9,3.3,95.8
1,18,5,9853,1,1,121.0,38,19,7,7,117.5,1,1,0,0,0,20,10.8,1.74,Dropout,95.5,3.9,0.6,95.5
1,7,1,9500,1,3,120.0,37,37,4,5,120.0,0,1,0,0,0,28,13.9,0.79,Dropout,95.2,3.2,1.6,95.2
4,39,1,9853,1,19,133.1,38,19,9,9,108.0,0,1,0,0,0,33,8.9,3.51,Dropout,94.4,5.3,0.3,94.4
1,39,1,8014,0,1,140.0,37,37,90,5,115.5,0,0,0,1,0,33,10.8,1.74,Dropout,94.3,3.8,1.9,94.3
1,1,1,9130,1,1,136.0,19,19,90,8,133.9,1,0,0,1,0,20,10.8,1.74,Dropout,94.2,3.1,2.7,94.2
2,39,1,8014,0,19,100.0,38,19,0,10,111.3,0,1,0,0,0,25,7.6,0.32,Dropout,94.2,3.7,2.1,94.2
4,39,1,9500,1,19,110.0,37,38,5,5,151.0,0,1,0,1,0,47,15.5,-4.06,Dropout,94.0,4.9,1.1,94.0
1,39,1,9773,1,19,133.1,19,19,3,4,104.0,0,1,0,0,0,27,11.1,2.02,Dropout,93.8,5.6,0.7,93.8
2,39,1,9119,1,1,120.0,34,34,0,0,140.0,1,0,1,1,0,33,9.4,-3.12,Dropout,93.5,3.7,2.8,93.5
1,42,1,9147,1,1,130.0,34,34,99,99,109.8,1,0,0,1,0,23,7.6,0.32,Dropout,93.5,5.9,0.6,93.5
1,1,1,9853,1,1,125.0,34,37,9,9,129.2,1,1,0,0,0,20,10.8,1.74,Dropout,92.8,6.1,1.1,92.8
4,39,1,8014,0,19,133.1,37,37,90,7,110.0,0,0,0,0,0,31,9.4,-3.12,Dropout,92.5,4.5,3.0,92.5
1,1,1,9670,1,1,130.0,1,1,0,0,119.5,0,0,0,1,0,19,9.4,-3.12,Dropout,92.4,3.8,3.8,92.4
2,39,2,9119,1,19,133.1,37,37,7,7,118.0,0,0,0,1,0,33,9.4,-3.12,Dropout,92.3,7.3,0.4,92.3
1,39,1,9003,1,1,130.0,37,37,6,6,100.0,0,1,0,1,0,28,15.5,-4.06,Dropout,91.8,7.6,0.6,91.8
1,39,1,9003,1,1,111.0,37,37,9,10,95.8,1,0,0,1,0,43,15.5,-4.06,Dropout,91.4,7.8,0.8,91.4
2,39,1,9070,1,12,110.0,37,38,5,10,130.0,0,1,0,1,1,46,15.5,-4.06,Dropout,91.1,5.3,3.6,91.1
1,39,1,9500,1,1,100.0,19,1,1,90,114.0,1,1,0,0,0,31,7.6,0.32,Dropout,91.1,8.2,0.8,91.1
1,44,1,9130,1,39,160.0,1,37,3,3,160.0,1,1,0,0,0,36,12.4,1.79,Dropout,90.3,7.1,2.6,90.3
4,39,1,9500,1,19,133.1,37,37,6,6,117.8,0,1,0,0,0,46,11.1,2.02,Dropout,90.2,7.6,2.2,90.2
1,42,1,9147,1,1,135.0,19,1,4,4,120.0,0,0,0,1,0,25,15.5,-4.06,Dropout,90.0,9.0,0.9,90.0
1,43,1,9670,1,6,170.0,34,34,0,0,111.6,0,0,1,1,0,35,9.4,-3.12,Dropout,89.9,1.5,8.6,89.9
1,1,1,9853,1,1,125.0,37,37,9,9,114.9,1,1,0,0,0,21,15.5,-4.06,Dropout,89.9,9.3,0.7,89.9
1,1,1,171,1,1,180.0,37,37,9,9,152.7,1,1,0,1,0,27,7.6,0.32,Dropout,89.8,7.9,2.3,89.8
2,39,1,8014,0,1,120.0,34,34,99,99,101.8,0,0,0,0,0,32,10.8,1.74,Dropout,89.3,7.3,3.4,89.3
1,17,5,9085,1,1,130.0,19,19,90,7,115.8,0,0,0,0,0,18,12.7,-1.7,Dropout,89.1,6.6,4.2,89.1
1,39,2,9147,1,1,130.0,19,19,5,9,121.5,0,0,0,1,0,26,10.8,1.74,Dropout,89.0,10.1,0.9,89.0
1,44,1,9130,1,39,120.0,37,37,7,8,120.0,1,1,0,0,0,19,12.4,1.79,Dropout,89.0,10.3,0.8,89.0
2,39,1,9085,1,12,133.1,1,39,5,3,140.0,1,1,0,0,0,32,13.9,0.79,Dropout,88.5,9.0,2.5,88.5
1,39,1,9003,1,1,110.0,1,1,9,4,120.0,0,1,0,1,0,27,13.9,0.79,Dropout,88.4,10.9,0.8,88.4
1,1,2,9773,1,1,130.0,38,37,5,3,122.3,1,1,0,0,0,18,13.9,0.79,Dropout,88.2,6.3,5.6,88.2
1,39,1,171,1,1,147.0,37,38,175,193,133.3,0,0,0,0,0,32,16.2,-0.92,Dropout,88.2,10.2,1.6,88.2
1,42,1,9119,1,1,120.0,19,37,9,9,113.8,0,0,0,1,0,27,15.5,-4.06,Dropout,87.8,11.7,0.5,87.8
1,7,1,8014,0,3,140.0,37,12,9,4,140.0,0,0,0,0,0,26,9.4,-3.12,Dropout,87.7,4.0,8.3,87.7
1,1,1,9085,1,1,123.0,38,19,4,90,127.2,0,1,0,1,0,20,7.6,0.32,Dropout,87.7,10.1,2.3,87.7
1,42,1,9003,1,1,160.0,19,1,9,5,107.8,1,0,0,1,0,27,15.5,-4.06,Dropout,86.9,10.0,3.1,86.9
1,39,1,9119,1,1,110.0,37,37,90,90,108.4,1,0,1,0,0,34,10.8,1.74,Dropout,86.5,11.0,2.5,86.5
1,1,1,9254,1,1,133.1,38,1,9,9,121.0,0,1,0,1,0,21,8.9,3.51,Dropout,86.2,11.9,1.9,86.2
1,39,1,9003,1,1,130.0,3,1,2,4,154.9,0,1,0,1,0,35,8.9,3.51,Dropout,85.9,12.7,1.4,85.9
1,17,1,9254,1,1,131.0,38,37,4,9,131.7,1,0,0,0,0,18,12.7,-1.7,Dropout,85.8,9.6,4.6,85.8
1,1,6,9773,1,1,141.0,30,37,7,7,128.4,1,1,0,0,0,18,7.6,0.32,Dropout,85.2,8.9,6.0,85.2
1,44,1,9130,1,39,150.0,3,1,2,8,150.0,0,0,0,1,0,22,12.7,-1.7,Dropout,85.1,12.6,2.3,85.1
1,1,1,9254,1,1,121.0,1,1,5,4,111.9,1,0,0,1,0,20,10.8,1.74,Dropout,85.1,12.2,2.7,85.1
1,39,1,9003,1,1,133.1,38,38,4,7,115.6,1,0,0,0,0,27,15.5,-4.06,Dropout,85.0,11.8,3.2,85.0
1,17,1,171,1,1,132.0,1,37,4,9,127.1,0,0,0,1,0,21,7.6,0.32,Dropout,85.0,12.0,3.0,85.0
1,18,3,9147,1,1,133.1,1,38,4,7,101.0,1,0,0,1,0,23,8.9,3.51,Dropout,84.9,13.3,1.8,84.9
1,39,1,9254,1,1,133.1,1,1,9,6,105.0,1,1,0,0,0,24,8.9,3.51,Dropout,84.4,14.8,0.8,84.4
1,39,1,9003,1,1,130.0,1,1,9,4,140.0,0,0,0,1,0,25,13.9,0.79,Dropout,84.1,12.6,3.4,84.1
1,43,1,9853,1,1,110.0,37,37,9,9,107.7,0,1,0,0,0,28,10.8,1.74,Dropout,84.1,15.4,0.5,84.1
1,43,1,9500,1,19,133.1,34,34,0,0,110.0,1,0,1,1,0,27,7.6,0.32,Dropout,84.0,2.5,13.5,84.0
1,39,1,9130,1,19,133.1,19,3,9,2,140.0,1,1,1,1,0,24,16.2,-0.92,Dropout,83.8,11.5,4.6,83.8
1,39,1,8014,0,1,133.1,37,37,9,8,121.0,0,1,0,0,0,44,8.9,3.51,Dropout,83.8,13.6,2.6,83.8
1,1,1,9130,1,1,143.0,3,3,2,10,141.3,0,1,0,0,0,23,11.1,2.02,Dropout,83.7,13.3,3.0,83.7
1,1,5,9773,1,1,131.0,1,38,9,5,132.4,1,1,0,1,0,18,11.1,2.02,Dropout,83.5,12.7,3.8,83.5
1,1,5,9147,1,1,122.0,38,38,9,9,117.5,1,1,0,0,0,22,12.7,-1.7,Dropout,83.4,15.0,1.7,83.4
1,39,1,9500,1,1,120.0,3,3,2,2,149.0,0,0,0,1,0,36,15.5,-4.06,Dropout,83.1,14.1,2.8,83.1
1,43,1,9991,0,1,100.0,3,19,1,1,117.9,0,0,0,1,0,40,10.8,1.74,Dropout,83.0,15.4,1.6,83.0
1,17,1,9773,1,1,127.0,1,33,3,3,129.8,0,0,0,1,0,20,10.8,1.74,Dropout,82.8,10.2,7.0,82.8
1,17,6,9147,1,1,118.0,37,1,9,7,117.0,1,0,0,1,0,23,9.4,-3.12,Dropout,82.6,15.2,2.2,82.6
1,1,5,9070,1,1,122.0,37,37,9,9,124.8,1,0,0,1,0,19,10.8,1.74,Dropout,82.1,11.3,6.6,82.1
1,1,1,9130,1,1,148.0,1,1,9,9,141.7,0,0,0,1,0,18,8.9,3.51,Dropout,82.1,11.0,6.9,82.1
1,39,1,9003,1,1,130.0,19,19,9,5,100.0,0,0,0,1,0,29,13.9,0.79,Dropout,82.0,16.0,1.9,82.0
2,39,1,8014,0,19,133.1,34,34,0,0,130.0,0,0,1,1,0,38,9.4,-3.12,Dropout,81.9,1.0,17.2,81.9
1,1,1,171,1,1,168.0,38,37,9,8,155.1,1,1,0,1,1,18,12.7,-1.7,Dropout,81.7,10.1,8.3,81.7
2,39,1,9991,0,1,148.0,19,37,9,5,130.9,0,0,0,1,0,28,12.4,1.79,Dropout,81.2,16.0,2.7,81.2
4,1,1,9991,0,1,130.0,37,37,9,9,118.1,0,1,0,0,0,37,12.7,-1.7,Dropout,81.1,17.0,1.9,81.1
4,39,1,9853,1,1,143.0,37,1,9,10,140.0,0,1,0,0,0,31,8.9,3.51,Dropout,80.9,18.4,0.7,80.9
2,43,1,9670,1,1,120.0,34,34,0,0,128.2,0,0,1,1,0,35,9.4,-3.12,Dropout,80.5,3.8,15.7,80.5
2,39,1,8014,0,1,150.0,37,37,9,9,140.0,0,0,0,1,0,35,9.4,-3.12,Dropout,80.4,12.6,7.0,80.4
1,17,3,9254,1,1,122.0,1,1,4,4,126.6,0,0,0,0,0,18,10.8,1.74,Dropout,79.9,15.9,4.2,79.9
1,1,1,9773,1,1,124.0,1,1,3,5,118.1,1,1,0,0,0,19,16.2,-0.92,Dropout,79.8,16.8,3.4,79.8
